Id,Nombre,Precio,Precio Pack,Formato,Categoria,Supermercado,Url,Url_imagen
VC4AECOMM-182267,Palomitas sabor queso Xtra Popitas sin gluten 160 g.,"2,49 €","15,56 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/palomitas-sabor-queso-xtra-popitas-sin-gluten-160-g/R-VC4AECOMM-182267/p,https://static.carrefour.es/hd_350x_/img_pim_food/182267_00_1.jpg
608100767,Cortezas de cerdo 400 g,"5,75 €","14,37 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/cortezas-de-cerdo-400-g/R-608100767/p,https://static.carrefour.es/hd_350x_/img_pim_food/226215_00_1.jpg
VC4AECOMM-652696,Patatas fritas Mediterráneas Lay's sin gluten 140 g.,"2,15 €","15,36 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/patatas-fritas-mediterraneas-lays-sin-gluten-140-g/R-VC4AECOMM-652696/p,https://static.carrefour.es/hd_350x_/img_pim_food/652696_00_1.jpg
678806673,Palomitas al punto de sal para microondas Zero Popitas sin gluten pack 3 unidades de 70 g.,"2,49 €","11,86 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/palomitas-al-punto-de-sal-para-microondas-zero-popitas-sin-gluten-pack-3-unidades-de-70-g/R-678806673/p,https://static.carrefour.es/hd_350x_/img_pim_food/050414_00_1.jpg
VC4AECOMM-417733,Pepinillos aliñados Classic Carrefour 230 g.,"2,29 €","9,96 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/pepinillos-alinados-classic-carrefour-230-g/R-VC4AECOMM-417733/p,https://static.carrefour.es/hd_350x_/img_pim_food/417733_00_1.jpg
590205841,Nachos sabor queso ecológicos Ecocesta sin gluten 125 g.,"2,99 €","23,92 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/nachos-sabor-queso-ecologicos-ecocesta-sin-gluten-125-g/R-590205841/p,https://static.carrefour.es/hd_350x_/img_pim_food/184347_00_1.jpg
VC4AECOMM-757279,Almendra largeta tostada De Nuestra Tierra doy pack 120 g.,"3,19 €","26,58 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/almendra-largeta-tostada-de-nuestra-tierra-doy-pack-120-g/R-VC4AECOMM-757279/p,https://static.carrefour.es/hd_350x_/img_pim_food/757279_00_1.jpg
prod1070248,Pipas de girasol sabor barbacoa Classic Carrefour 200 g.,"1,35 €","6,75 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/pipas-de-girasol-sabor-barbacoa-classic-carrefour-200-g/R-prod1070248/p,https://static.carrefour.es/hd_350x_/img_pim_food/131720_00_1.jpg
521004033,Cebollitas rojas en vinagre agridulces Rioverde sin gluten 180 g.,"2,05 €","11,39 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/cebollitas-rojas-en-vinagre-agridulces-rioverde-sin-gluten-180-g/R-521004033/p,https://static.carrefour.es/hd_350x_/img_pim_food/291362_00_1.jpg
fprod1470236,Orejones desecados Original Carrefour 200 g.,"4,39 €","21,95 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/orejones-desecados-original-carrefour-200-g/R-fprod1470236/p,https://static.carrefour.es/hd_350x_/img_pim_food/408621_00_1.jpg
prod70446,Tortitas de arroz  integrales con chocolate y leche Bicentury 130 g.,"2,99 €",23 €,kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/tortitas-de-arroz-integrales-con-chocolate-y-leche-bicentury-130-g/R-prod70446/p,https://static.carrefour.es/hd_350x_/img_pim_food/193208_00_1.jpg
VC4AECOMM-023354,Aceituna gordal aliñada con hueso Classic Carrefour 500 g.,"4,45 €","8,90 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/aceituna-gordal-alinada-con-hueso-classic-carrefour-500-g/R-VC4AECOMM-023354/p,https://static.carrefour.es/hd_350x_/img_pim_food/023354_00_1.jpg
prod1070673,Pasa sultana sin semilla Carrefour tarrina 300 g,"2,89 €","9,63 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/pasa-sultana-sin-semilla-carrefour-tarrina-300-g/R-prod1070673/p,https://static.carrefour.es/hd_350x_/img_pim_food/142291_00_1.jpg
fprod1230022,Guindillas de Ibarra De Nuestra Tierra 120 g.,"5,89 €","49,08 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/guindillas-de-ibarra-de-nuestra-tierra-120-g/R-fprod1230022/p,https://static.carrefour.es/hd_350x_/img_pim_food/284059_00_1.jpg
fprod1190351,"Tortitas de maíz sabor miel y mostaza Bicentury 123,5 g.","2,65 €","21,54 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/tortitas-de-maiz-sabor-miel-y-mostaza-bicentury-1235-g/R-fprod1190351/p,https://static.carrefour.es/hd_350x_/img_pim_food/235488_00_1.jpg
prod260123,Jalapeños nachos La Costeña 121 g.,"2,59 €","21,40 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/jalapenos-nachos-la-costena-121-g/R-prod260123/p,https://static.carrefour.es/hd_350x_/img_pim_food/426016_00_1.jpg
prod61943,Almendras tostadas ecológicas Carrefour 170 g,"4,19 €","24,65 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/almendras-tostadas-ecologicas-carrefour-170-g/R-prod61943/p,https://static.carrefour.es/hd_350x_/img_pim_food/986773_00_1.jpg
VC4AECOMM-676595,Aceitunas verdes rellenas de trocitos de jalapeño Pícaras La Española sin gluten pack de 3 latas de 50 g.,"4,39 €","29,27 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/aceitunas-verdes-rellenas-de-trocitos-de-jalapeno-picaras-la-espanola-sin-gluten-pack-de-3-latas-de-50-g/R-VC4AECOMM-676595/p,https://static.carrefour.es/hd_350x_/img_pim_food/676595_00_1.jpg
754706063,Tortitas de maíz con olivas y cebollino Bicentury 124 g.,"2,45 €","19,76 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/tortitas-de-maiz-con-olivas-y-cebollino-bicentury-124-g/R-754706063/p,https://static.carrefour.es/hd_350x_/img_pim_food/763745_00_1.jpg
VC4AECOMM-142068,Aperitivo de patata sabor barbacoa Pringles 185 g.,"2,95 €","15,95 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/aperitivo-de-patata-sabor-barbacoa-pringles-185-g/R-VC4AECOMM-142068/p,https://static.carrefour.es/hd_350x_/img_pim_food/142068_00_1.jpg
VC4AECOMM-685785,Pistacho natural sin cáscara Originial Carrefour doy pack 100 g.,"2,95 €","29,50 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/pistacho-natural-sin-cascara-originial-carrefour-doy-pack-100-g/R-VC4AECOMM-685785/p,https://static.carrefour.es/hd_350x_/img_pim_food/685785_00_1.jpg
prod730582,"Tortitas de arroz con chocolate, leche y trozos de avellanas Bicentury 142 g.","3,25 €","22,89 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/tortitas-de-arroz-con-chocolate-leche-y-trozos-de-avellanas-bicentury-142-g/R-prod730582/p,https://static.carrefour.es/hd_350x_/img_pim_food/854247_00_1.jpg
697806852,Cocktail de frutos secos bajos en sal Sensation Carrefour doy pack 100 g.,"2,15 €","21,50 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/cocktail-de-frutos-secos-bajos-en-sal-sensation-carrefour-doy-pack-100-g/R-697806852/p,https://static.carrefour.es/hd_350x_/img_pim_food/098792_00_1.jpg
VC4AECOMM-639883,Anacardos crudos Natura Borges doy pack 120 g.,"4,05 €","33,75 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/anacardos-crudos-natura-borges-doy-pack-120-g/R-VC4AECOMM-639883/p,https://static.carrefour.es/hd_350x_/img_pim_food/639883_00_1.jpg
prod1070703,Cóctel frutos secos crudos Carrefour tarrina 250 g,"4,05 €","16,20 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/coctel-frutos-secos-crudos-carrefour-tarrina-250-g/R-prod1070703/p,https://static.carrefour.es/hd_350x_/img_pim_food/142327_00_1.jpg
VC4AECOMM-683117,Pasa sultana Carrefour 250 g,"2,15 €","8,60 €",kg,/supermercado/la-despensa/aperitivos/cat390001/c,Carrefour,https://www.carrefour.es/supermercado/pasa-sultana-carrefour-250-g/R-VC4AECOMM-683117/p,https://static.carrefour.es/hd_350x_/img_pim_food/683117_00_1.jpg
